url,region,condition,rooms,rent,year_construction,space,cold_rent,utilities,heating_costs,security_deposit,parking_space,renovated_date,property_condition,furnishing,heating_type,energy_sources,energy_certificate,type_of_certificate,energy_requirement,efficiency_class,tags
https://www.immobilienscout24.de/expose/100542224,Kreuzberg,first_time_use,1,699,2018,20,599€,+100€,inkl.,"1797,00",,,New,Gehobene Qualität,CHP Plants,Gas Energieausweis liegt vor,liegt vor,Bedarfsausweis,28 kWh/(m²*a),A,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116576739,Wilmersdorf,first_time_use,2,1258,2020,65.01,,,,,,2020,New,Gehobene Qualität,District Heating,Fernwärme Energieausweis liegt zur Besichtigung vor,liegt zur Besichtigung vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116360860,Tiergarten,first_time_use,3,1942.72,2019,90.15,"1.672,28€","+180,30€","+90,14€",3345,,2019,New,Gehobene Qualität,District Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"77,3 kWh/(m²*a)",C,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116571732,Wilmersdorf,first_time_use,4,2250,2020,118.37,,,,,,2020,New,Gehobene Qualität,District Heating,Fernwärme Energieausweis liegt zur Besichtigung vor,liegt zur Besichtigung vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/113762650,Friedrichsfelde,well_kept,1.5,668.4,1995,49.99,,,,,,,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Verbrauchsausweis Energie­ver­brauchs­kennwert 102 kWh/(m²*a) Energieverbrauch für Warmwasser enthalten,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116575141,Charlottenburg,first_time_use,2,1777,2017,84,1.50€,+277€,in,4500,,,New,Gehobene Qualität,,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,50 kWh/(m²*a),A,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116575303,Friedrichsfelde,no_information,2,1265,2019,63,1.12€,+145€,in,3360,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116570140,Tiergarten,first_time_use,3,2096,2019,98,1.72€,+380€,in,5148,,2019,New,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116569452,Charlottenburg,first_time_use,2,1350,2019,50.3,,,,,,2019,New,Gehobene Qualität,Underfloor Heating,Fernwärme,,Bedarfsausweis,54 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116568851,Tiergarten,well_kept,2,1500,1999,61,,,,,,2011,Groomed,Gehobene Qualität,Underfloor Heating,Fernwärme,,Verbrauchsausweis End­energie­verbrauch 209 kWh/(m²*a),,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
